q_learning,tit_for_tat,accumulate_credits,detective,grudger
8.35,13.35,0.0,0.0,0.0
8.35,13.35,0.0,0.0,0.0
8.35,13.35,0.0,0.0,0.0
8.35,13.35,0.0,0.0,0.0
7.15,10.5,0.0,0.0,0.0
7.15,10.5,0.0,0.0,0.0
7.15,10.5,0.0,0.0,0.0
7.15,10.5,0.0,0.0,0.0
7.15,10.5,0.0,0.0,0.0
8.4,13.35,9.0,0.0,0.0
8.4,13.35,9.0,0.0,0.0
8.4,13.35,9.0,0.0,0.0
8.4,13.35,9.0,0.0,0.0
8.4,13.35,9.0,0.0,0.0
8.85,0.0,0.0,1.55,0.0
8.85,0.0,0.0,1.55,0.0
8.85,0.0,0.0,1.55,0.0
8.85,0.0,0.0,1.55,0.0
8.85,0.0,0.0,1.55,0.0
8.9,11.7,13.5,6.0,0.0
8.9,11.7,13.5,6.0,0.0
8.9,11.7,13.5,6.0,0.0
8.9,11.7,13.5,6.0,0.0
8.9,11.7,13.5,6.0,0.0
7.2,7.55,4.55,0.0,0.0
7.2,7.55,4.55,0.0,0.0
7.2,7.55,4.55,0.0,0.0
7.2,7.55,4.55,0.0,0.0
7.2,7.55,4.55,0.0,0.0
6.0,0.0,13.4,0.0,0.0
6.0,0.0,13.4,0.0,0.0
6.0,0.0,13.4,0.0,0.0
6.0,0.0,13.4,0.0,0.0
6.0,0.0,13.4,0.0,0.0
6.75,2.85,0.0,0.0,0.0
6.75,2.85,0.0,0.0,0.0
6.75,2.85,0.0,0.0,0.0
6.75,2.85,0.0,0.0,0.0
6.75,2.85,0.0,0.0,0.0
6.75,6.05,8.9,0.0,0.0
6.75,6.05,8.9,0.0,0.0
6.75,6.05,8.9,0.0,0.0
6.75,6.05,8.9,0.0,0.0
6.75,6.05,8.9,0.0,0.0
6.65,9.1,3.0,0.0,7.4
6.65,9.1,3.0,0.0,7.4
6.65,9.1,3.0,0.0,7.4
6.65,9.1,3.0,0.0,7.4
6.65,9.1,3.0,0.0,7.4
6.8,13.35,0.0,0.0,13.5
6.8,13.35,0.0,0.0,13.5
6.8,13.35,0.0,0.0,13.5
6.8,13.35,0.0,0.0,13.5
6.8,13.35,0.0,0.0,13.5
7.75,11.6,0.0,0.0,0.0
7.75,11.6,0.0,0.0,0.0
7.75,11.6,0.0,0.0,0.0
7.75,11.6,0.0,0.0,0.0
7.75,11.6,0.0,0.0,0.0
9.05,11.85,0.0,0.0,0.0
9.05,11.85,0.0,0.0,0.0
9.05,11.85,0.0,0.0,0.0
9.05,11.85,0.0,0.0,0.0
9.05,11.85,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.55,6.0,10.35,0.0,0.0
9.55,6.0,10.35,0.0,0.0
9.55,6.0,10.35,0.0,0.0
9.55,6.0,10.35,0.0,0.0
9.55,6.0,10.35,0.0,0.0
9.25,0.0,0.0,12.0,0.0
9.25,0.0,0.0,12.0,0.0
9.25,0.0,0.0,12.0,0.0
9.25,0.0,0.0,12.0,0.0
9.25,0.0,0.0,12.0,0.0
7.15,13.2,1.55,12.05,0.0
7.15,13.2,1.55,12.05,0.0
7.15,13.2,1.55,12.05,0.0
7.15,13.2,1.55,12.05,0.0
7.15,13.2,1.55,12.05,0.0
8.45,12.8,0.0,4.35,0.0
8.45,12.8,0.0,4.35,0.0
8.45,12.8,0.0,4.35,0.0
8.45,12.8,0.0,4.35,0.0
8.45,12.8,0.0,4.35,0.0
6.0,3.0,0.0,0.0,0.0
6.0,3.0,0.0,0.0,0.0
6.0,3.0,0.0,0.0,0.0
6.0,3.0,0.0,0.0,0.0
6.0,3.0,0.0,0.0,0.0
7.45,6.0,9.0,9.05,0.0
7.45,6.0,9.0,9.05,0.0
7.45,6.0,9.0,9.05,0.0
7.45,6.0,9.0,9.05,0.0
7.45,6.0,9.0,9.05,0.0
8.85,0.0,0.0,0.0,13.35
8.85,0.0,0.0,0.0,13.35
8.85,0.0,0.0,0.0,13.35
8.85,0.0,0.0,0.0,13.35
8.85,0.0,0.0,0.0,13.35
8.45,10.5,0.0,1.5,0.0
8.45,10.5,0.0,1.5,0.0
8.45,10.5,0.0,1.5,0.0
8.45,10.5,0.0,1.5,0.0
8.45,10.5,0.0,1.5,0.0
6.55,12.0,0.0,0.0,0.0
6.55,12.0,0.0,0.0,0.0
6.55,12.0,0.0,0.0,0.0
6.55,12.0,0.0,0.0,0.0
6.55,12.0,0.0,0.0,0.0
8.95,12.05,4.5,0.0,11.95
8.95,12.05,4.5,0.0,11.95
8.95,12.05,4.5,0.0,11.95
8.95,12.05,4.5,0.0,11.95
8.95,12.05,4.5,0.0,11.95
10.2,0.0,0.0,0.0,7.4
10.2,0.0,0.0,0.0,7.4
10.2,0.0,0.0,0.0,7.4
10.2,0.0,0.0,0.0,7.4
10.2,0.0,0.0,0.0,7.4
8.3,0.0,0.0,1.5,0.0
8.3,0.0,0.0,1.5,0.0
8.3,0.0,0.0,1.5,0.0
8.3,0.0,0.0,1.5,0.0
8.3,0.0,0.0,1.5,0.0
10.8,9.0,7.5,0.0,0.0
10.8,9.0,7.5,0.0,0.0
10.8,9.0,7.5,0.0,0.0
10.8,9.0,7.5,0.0,0.0
10.8,9.0,7.5,0.0,0.0
8.15,0.0,9.0,10.35,1.55
8.15,0.0,9.0,10.35,1.55
8.15,0.0,9.0,10.35,1.55
8.15,0.0,9.0,10.35,1.55
8.15,0.0,9.0,10.35,1.55
10.3,12.75,0.0,10.35,0.0
10.3,12.75,0.0,10.35,0.0
10.3,12.75,0.0,10.35,0.0
10.3,12.75,0.0,10.35,0.0
10.3,12.75,0.0,10.35,0.0
10.1,12.1,0.0,0.0,4.5
10.1,12.1,0.0,0.0,4.5
10.1,12.1,0.0,0.0,4.5
10.1,12.1,0.0,0.0,4.5
10.1,12.1,0.0,0.0,4.5
10.0,0.0,13.55,0.0,6.0
10.0,0.0,13.55,0.0,6.0
10.0,0.0,13.55,0.0,6.0
10.0,0.0,13.55,0.0,6.0
10.0,0.0,13.55,0.0,6.0
9.65,13.4,0.0,0.0,0.0
9.65,13.4,0.0,0.0,0.0
9.65,13.4,0.0,0.0,0.0
9.65,13.4,0.0,0.0,0.0
9.65,13.4,0.0,0.0,0.0
8.65,0.0,8.9,7.35,13.5
8.65,0.0,8.9,7.35,13.5
8.65,0.0,8.9,7.35,13.5
8.65,0.0,8.9,7.35,13.5
8.65,0.0,8.9,7.35,13.5
7.2,12.8,0.0,0.0,0.0
7.2,12.8,0.0,0.0,0.0
7.2,12.8,0.0,0.0,0.0
7.2,12.8,0.0,0.0,0.0
7.2,12.8,0.0,0.0,0.0
7.4,0.0,3.0,0.0,0.05
7.4,0.0,3.0,0.0,0.05
7.4,0.0,3.0,0.0,0.05
7.4,0.0,3.0,0.0,0.05
7.4,0.0,3.0,0.0,0.05
10.55,3.0,11.4,0.0,0.0
10.55,3.0,11.4,0.0,0.0
10.55,3.0,11.4,0.0,0.0
10.55,3.0,11.4,0.0,0.0
10.55,3.0,11.4,0.0,0.0
7.8,6.0,0.05,0.05,0.0
7.8,6.0,0.05,0.05,0.0
7.8,6.0,0.05,0.05,0.0
7.8,6.0,0.05,0.05,0.0
7.8,6.0,0.05,0.05,0.0
9.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
8.9,11.7,0.0,0.0,0.0
8.9,11.7,0.0,0.0,0.0
8.9,11.7,0.0,0.0,0.0
8.9,11.7,0.0,0.0,0.0
8.9,11.7,0.0,0.0,0.0
8.9,13.55,0.0,0.0,0.0
8.9,13.55,0.0,0.0,0.0
8.9,13.55,0.0,0.0,0.0
8.9,13.55,0.0,0.0,0.0
8.9,13.55,0.0,0.0,0.0
10.0,8.7,9.0,0.0,10.5
10.0,8.7,9.0,0.0,10.5
10.0,8.7,9.0,0.0,10.5
10.0,8.7,9.0,0.0,10.5
10.0,8.7,9.0,0.0,10.5
8.55,0.0,0.0,11.4,0.0
8.55,0.0,0.0,11.4,0.0
8.55,0.0,0.0,11.4,0.0
8.55,0.0,0.0,11.4,0.0
8.55,0.0,0.0,11.4,0.0
8.5,0.05,0.0,0.0,13.5
8.5,0.05,0.0,0.0,13.5
8.5,0.05,0.0,0.0,13.5
8.5,0.05,0.0,0.0,13.5
8.5,0.05,0.0,0.0,13.5
9.75,0.05,0.0,0.0,4.5
9.75,0.05,0.0,0.0,4.5
9.75,0.05,0.0,0.0,4.5
9.75,0.05,0.0,0.0,4.5
9.75,0.05,0.0,0.0,4.5
10.35,10.55,0.0,0.0,0.0
10.35,10.55,0.0,0.0,0.0
10.35,10.55,0.0,0.0,0.0
10.35,10.55,0.0,0.0,0.0
10.35,10.55,0.0,0.0,0.0
9.65,5.95,0.0,0.0,9.0
9.65,5.95,0.0,0.0,9.0
9.65,5.95,0.0,0.0,9.0
9.65,5.95,0.0,0.0,9.0
9.65,5.95,0.0,0.0,9.0
9.4,13.4,0.0,0.0,0.0
9.4,13.4,0.0,0.0,0.0
9.4,13.4,0.0,0.0,0.0
9.4,13.4,0.0,0.0,0.0
9.4,13.4,0.0,0.0,0.0
8.75,11.95,0.0,10.5,0.0
8.75,11.95,0.0,10.5,0.0
8.75,11.95,0.0,10.5,0.0
8.75,11.95,0.0,10.5,0.0
8.75,11.95,0.0,10.5,0.0
10.65,5.85,0.0,7.5,0.0
10.65,5.85,0.0,7.5,0.0
10.65,5.85,0.0,7.5,0.0
10.65,5.85,0.0,7.5,0.0
10.65,5.85,0.0,7.5,0.0
8.6,6.0,0.0,9.0,0.0
8.6,6.0,0.0,9.0,0.0
8.6,6.0,0.0,9.0,0.0
8.6,6.0,0.0,9.0,0.0
8.6,6.0,0.0,9.0,0.0
11.4,3.9,7.2,0.0,0.0
11.4,3.9,7.2,0.0,0.0
11.4,3.9,7.2,0.0,0.0
11.4,3.9,7.2,0.0,0.0
11.4,3.9,7.2,0.0,0.0
10.75,0.0,0.0,0.0,3.05
10.75,0.0,0.0,0.0,3.05
10.75,0.0,0.0,0.0,3.05
10.75,0.0,0.0,0.0,3.05
10.75,0.0,0.0,0.0,3.05
4.2,7.5,0.0,0.0,0.0
4.2,7.5,0.0,0.0,0.0
4.2,7.5,0.0,0.0,0.0
4.2,7.5,0.0,0.0,0.0
4.2,7.5,0.0,0.0,0.0
8.95,9.9,0.0,0.0,0.0
8.95,9.9,0.0,0.0,0.0
8.95,9.9,0.0,0.0,0.0
8.95,9.9,0.0,0.0,0.0
8.95,9.9,0.0,0.0,0.0
7.85,13.55,11.9,13.55,0.0
7.85,13.55,11.9,13.55,0.0
7.85,13.55,11.9,13.55,0.0
7.85,13.55,11.9,13.55,0.0
7.85,13.55,11.9,13.55,0.0
10.95,10.5,0.0,13.35,0.0
10.95,10.5,0.0,13.35,0.0
10.95,10.5,0.0,13.35,0.0
10.95,10.5,0.0,13.35,0.0
10.95,10.5,0.0,13.35,0.0
9.05,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0
9.65,10.05,0.0,4.5,0.0
9.65,10.05,0.0,4.5,0.0
9.65,10.05,0.0,4.5,0.0
9.65,10.05,0.0,4.5,0.0
9.65,10.05,0.0,4.5,0.0
9.5,0.0,0.0,3.0,12.9
9.5,0.0,0.0,3.0,12.9
9.5,0.0,0.0,3.0,12.9
9.5,0.0,0.0,3.0,12.9
9.5,0.0,0.0,3.0,12.9
8.85,8.9,0.0,0.0,0.0
8.85,8.9,0.0,0.0,0.0
8.85,8.9,0.0,0.0,0.0
8.85,8.9,0.0,0.0,0.0
8.85,8.9,0.0,0.0,0.0
9.2,11.4,7.4,13.5,0.0
9.2,11.4,7.4,13.5,0.0
9.2,11.4,7.4,13.5,0.0
9.2,11.4,7.4,13.5,0.0
9.2,11.4,7.4,13.5,0.0
9.8,1.5,1.5,0.0,0.0
9.8,1.5,1.5,0.0,0.0
9.8,1.5,1.5,0.0,0.0
9.8,1.5,1.5,0.0,0.0
9.8,1.5,1.5,0.0,0.0
10.75,0.0,13.5,9.05,11.25
10.75,0.0,13.5,9.05,11.25
10.75,0.0,13.5,9.05,11.25
10.75,0.0,13.5,9.05,11.25
10.75,0.0,13.5,9.05,11.25
8.75,8.75,0.0,7.55,11.9
8.75,8.75,0.0,7.55,11.9
8.75,8.75,0.0,7.55,11.9
8.75,8.75,0.0,7.55,11.9
8.75,8.75,0.0,7.55,11.9
8.0,4.7,6.0,0.0,0.0
8.0,4.7,6.0,0.0,0.0
8.0,4.7,6.0,0.0,0.0
8.0,4.7,6.0,0.0,0.0
8.0,4.7,6.0,0.0,0.0
10.2,11.9,1.55,0.0,0.0
10.2,11.9,1.55,0.0,0.0
10.2,11.9,1.55,0.0,0.0
10.2,11.9,1.55,0.0,0.0
10.2,11.9,1.55,0.0,0.0
6.9,0.0,0.0,0.0,10.85
6.9,0.0,0.0,0.0,10.85
6.9,0.0,0.0,0.0,10.85
6.9,0.0,0.0,0.0,10.85
6.9,0.0,0.0,0.0,10.85
10.2,0.0,0.0,0.0,0.0
10.2,0.0,0.0,0.0,0.0
10.2,0.0,0.0,0.0,0.0
10.2,0.0,0.0,0.0,0.0
10.2,0.0,0.0,0.0,0.0
9.1,0.0,0.05,0.0,0.0
9.1,0.0,0.05,0.0,0.0
9.1,0.0,0.05,0.0,0.0
9.1,0.0,0.05,0.0,0.0
9.1,0.0,0.05,0.0,0.0
8.05,4.3,1.5,6.0,0.0
8.05,4.3,1.5,6.0,0.0
8.05,4.3,1.5,6.0,0.0
8.05,4.3,1.5,6.0,0.0
8.05,4.3,1.5,6.0,0.0
10.45,11.9,0.0,0.0,10.5
10.45,11.9,0.0,0.0,10.5
